"icelines_rank","player","team","positions","expected_fantasy_points","fantasy_points_2025_26","nhl_expert_rank","quiet_slate_games"
"92","Jacob Markstrom","FLA","G","251.6","226.6","79","10"
"93","Sebastian Aho","CAR","C","251.4","321","96","12"
"94","Gabriel Vilardi","WPG","C/RW","251.2","275.8","127","11"
"95","Jakob Chychrun","WSH","D","249.1","299","64","16"
"96","Lane Hutson","MTL","D","247.7","316.5","25","12"
"97","Nikolaj Ehlers","CAR","LW/RW","244.3","259.8","107","12"
"98","Jordan Binnington","STL","G","244.1","176.4","","5"
"99","Joel Hofer","STL","G","243.4","282.4","165","5"
"100","Pavel Dorofeyev","NYR","LW/RW","243.3","292.5","78","18"
"101","Kiefer Sherwood","SJS","LW/RW","241","323.5","220","17"
"102","Brandon Bussi","CAR","G","240.7","234.9","80","12"
"103","Pavel Zacha","BOS","C/LW","239.1","280.2","138","14"
"104","Brayden Point","TBL","C","238.9","174","61","8"
"105","Bo Horvat","NYI","C","237.7","250.8","84","10"
"106","Jake Sanderson","OTT","D","237.7","266","63","11"
"107","Josh Morrissey","WPG","D","237.7","250.8","147","11"
"108","Darren Raddysh","TOR","D","236.8","315.5","53","13"
"109","Will Cuylle","NYR","LW/RW","236.4","311.5","","18"
"110","Robert Thomas","STL","C","235.5","207","56","5"
"111","Roman Josi","NSH","D","235.3","254.2","95","5"
"112","Scott Wedgewood","COL","G","235.2","281.9","54","17"
"113","Joseph Woll","PHI","G","234.9","231.4","","12"
"114","Ryan Nugent-Hopkins","EDM","C/LW","233.8","246","154","10"
"115","Nazem Kadri","COL","C/LW","232.9","213.5","112","17"
"116","Rasmus Dahlin","BUF","D","231.7","235.5","39","10"
"117","Adam Fox","NYR","D","231.2","232.2","77","18"
"118","Sam Bennett","FLA","C","231","268","101","10"
"119","Dan Vladar","PHI","G","230.6","282.2","166","12"
"120","Adam Fantilli","CBJ","C","230.3","284.8","59","10"
"121","Alexander Nikishin","CAR","D","229.7","224.2","224","12"
"122","Owen Tippett","PHI","LW/RW","228.1","272.8","","12"
"123","Timo Meier","NJD","LW/RW","227.8","246","88","9"
"124","Charlie McAvoy","BOS","D","226.2","301.2","133","14"
"125","Jet Greaves","CBJ","G","226.2","318.4","187","10"
"126","Noah Dobson","MTL","D","226.2","260.8","148","12"
